,SBO,NETM,BL,B,G,E
ZnCrCN,6.4956035,1.042211438,2.112875956,229.43,98.93,259.49
ZnNbCN,7.03958575,1.0393625,2.201742534,234.23,105.51,275.21
ZnTaCN,7.259,0.98495,2.201526749,251.24,116.85,303.49
ZnTiCN,6.2000935,1.1845615,2.161954357,209.87,93.484,244.19
ZnVCN,6.495267,1.1173145,2.123703257,230.4,97.613,256.6
ZnZrCN,6.528989,1.11040825,2.252246143,188.92,91.65,236.68
ZrCrCN,7.3762235,1.399387688,2.18686302,226.74,155.38,379.45
ZrNbCN,7.92020575,1.39653875,2.275729599,267.04,177.23,435.38
ZrTaCN,8.13962,1.34212625,2.275513814,279.75,176.19,436.86
ZrVCN,7.375887,1.47449075,2.197690322,251.84,167.82,411.94
TaCrCN,8.1062345,1.273929438,2.136143627,315.91,167.86,427.8
NbTaMoWN4,8.53474375,1.187257563,2.191747801,330.2,106.66,288.88
NbTaVMoN4,8.04253675,1.2837265,2.161964986,319.35,131.41,346.68
ZrNbTaHfN4,7.93019875,1.3328475,2.245983571,286.49,132.36,344.09
ZrNbTiHfN4,7.41288625,1.43800875,2.224504824,271.75,162.4,406.26
ZrNbTiVN4,7.2603705,1.4612795,2.172722785,278.34,149.06,379.45
NbTaMoWCN,8.828446,1.202339188,2.203046925,330.3,148.51,387.47
NbTaVMoCN,8.3298995,1.295719594,2.173986063,318.2,169.98,432.86
ZrNbTaHfCN,8.1190145,1.351352938,2.267825499,279.22,182.62,449.81
ZrNbTiHfCN,7.58956125,1.451158688,2.248039303,261.81,180.06,439.45
ZrNbTiVCN,7.483598625,1.472591375,2.191564067,270.97,177.99,438.06
