,SBO,NETM,BL,B,G,E
NbZr3N4,7.49579225,1.4172975,2.275475143,261.67,154.22,386.68
NiZr3N4,6.985547,1.29869775,2.230669465,244.01,135.37,342.72
ScZr3N4,6.77154175,1.4819405,2.287816135,238.68,159.47,391.28
TaZr3N4,7.61044975,1.388547,2.275679333,267.94,152.96,385.51
TiZr3N4,7.09313725,1.49370825,2.254200587,251.49,150.33,376.06
VZr3N4,7.211095,1.46052575,2.238069485,254,149.61,375.17
WZr3N4,7.703302,1.364056813,2.2678523,270.94,141.5,361.56
YZr3N4,6.81791025,1.4697885,2.334388405,224.37,149.1,366.18
ZnZr3N4,6.79640525,1.30258725,2.262278853,232.04,146.84,363.79
Al2Zr2N4,6.362426,1.5439895,2.165879171,211.95,128.14,319.95
Co2Zr2N4,6.935377,1.1532085,2.148308705,232.42,114.76,295.63
Cr2Zr2N4,7.0557905,1.4016045,2.180179387,228.8,149.08,367.44
Fe2Zr2N4,6.931524,1.139668,2.168337659,220.13,122.34,309.65
Hf2Zr2N4,7.4573945,1.419384,2.282191834,260.87,153.98,386
Mn2Zr2N4,6.985365,1.1592945,2.179306052,254.2,133.42,340.65
Mo2Zr2N4,7.7995345,1.3103425,2.233038123,281.07,112.34,297.39
Nb2Zr2N4,7.7217575,1.379469,2.253439071,275.66,146.77,373.95
Ni2Zr2N4,6.701267,1.1422695,2.163827716,236.62,115.37,297.73
Sc2Zr2N4,6.2732565,1.508755,2.278121055,227.54,167.18,402.88
V2Zr2N4,7.152363,1.4659255,2.178627755,264.46,151.09,380.75
W2Zr2N4,8.136777,1.272987625,2.238193385,295.23,107.23,286.96
Y2Zr2N4,6.3659935,1.484451,2.371265595,201.71,146.91,354.63
Zn2Zr2N4,6.3229835,1.1500485,2.227046492,210.51,112.42,286.29
AlV3N4,6.6399305,1.515757,2.053370003,275.59,150.7,382.4
CoV3N4,6.926406,1.3203665,2.04458477,304.3,125.43,330.84
CrV3N4,6.98661275,1.4445645,2.060520112,320.61,151.32,392.25
FeV3N4,6.9244795,1.31359625,2.054599247,276.05,115.25,303.51
HfV3N4,7.18741475,1.45345425,2.111526335,289.64,158.6,402.36
MnV3N4,6.9514,1.3234095,2.060083444,258.69,119.07,309.69
MoV3N4,7.35848475,1.3989335,2.08694948,318.06,143.77,374.82
NbV3N4,7.31959625,1.43349675,2.097149954,307.75,154.18,396.34
NiV3N4,6.809351,1.314897,2.052344276,286.67,122.93,322.66
ScV3N4,6.59534575,1.49813975,2.109490945,275.06,166.94,416.55
TaV3N4,7.43425375,1.40474625,2.097354144,312.58,155.44,400.01
TiV3N4,6.91694125,1.5099075,2.075875398,301.73,164.51,417.64
WV3N4,7.527106,1.380256063,2.089527111,327.42,146.45,382.35
YV3N4,6.64171425,1.48598775,2.156063216,243.46,142.32,357.33
ZnV3N4,6.62020925,1.3187865,2.083953664,270.06,129.93,335.93
ZrV3N4,7.093631,1.47132525,2.119186025,268.99,151.46,382.58
Al2V2N4,6.244962,1.554789,2.046995711,254.48,167.51,412.1
Co2V2N4,6.817913,1.164008,2.029425245,305.98,103.89,279.99
Cr2V2N4,6.9383265,1.412404,2.061295928,272.25,148.99,378.01
Fe2V2N4,6.81406,1.1504675,2.049454199,241.19,89.294,238.45
Hf2V2N4,7.3399305,1.4301835,2.163308374,266.96,156.18,392.07
Mn2V2N4,6.867901,1.170094,2.060422593,242.06,132.15,335.42
Mo2V2N4,7.6820705,1.321142,2.114154664,321.54,67.155,188.35
Nb2V2N4,7.6042935,1.3902685,2.134555611,306.14,146.68,379.44
Ni2V2N4,6.583803,1.153069,2.044944257,283.95,82.741,226.25
Sc2V2N4,6.1557925,1.5195545,2.159237595,243.94,167.22,408.36
W2V2N4,8.019313,1.283787125,2.119309926,328.68,73.399,204.94
Y2V2N4,6.2485295,1.4952505,2.252382136,202.55,133.4,328.16
Zn2V2N4,6.2055195,1.160848,2.108163032,232.94,111.83,289.2
Ag2CN,5.7790515,0.6295295,2.309028148,139.84,24.921,70.57
Al2CN,5.7014195,1.503462,2.084352226,215.02,119.07,301.55
Au2CN,6.413251875,0.58022275,2.324383696,167.56,19.425,56.107
Cd2CN,5.4218715,0.726652625,2.400354495,110.64,30.08,82.741
Co2CN,7.0221935,0.7738465,2.000140799,301.49,86.489,236.82
Cr2CN,7.342838,1.331190875,2.047492834,268.63,139.59,356.94
Cu2CN,5.890028,0.8750115,2.100993537,188.6,43.203,120.41
Fe2CN,7.1850025,0.77107075,2.017424007,252.64,98.234,260.89
Hf2CN,7.7660155,1.39566625,2.295048378,257.45,192.38,462.05
Hg2CN,5.5726555,0.567603625,2.4404465,112.23,24.49,68.489
Mn2CN,7.2254415,0.82202275,2.047995175,235.15,124.27,316.97
Mo2CN,8.6769995,1.159320375,2.176776407,330.51,75.204,209.71
Nb2CN,8.4308025,1.325493,2.22522599,304.74,179.91,450.98
Ni2CN,6.5351755,0.754479625,2.0326705,246.95,61.622,170.67
Pd2CN,6.7282425,0.663627125,2.211963805,208.06,38.803,109.6
Pt2CN,7.403736125,0.670418125,2.236718809,239.91,18.801,54.966
Sc2CN,5.4758655,1.473255875,2.300501947,173.06,109.09,270.44
Ta2CN,8.869631,1.216668,2.22479442,328.3,182.73,462.41
Ti2CN,6.751818,1.615891,2.145649637,264.33,195.49,470.49
V2CN,7.342165,1.481397,2.069147436,308.24,201.89,497.14
W2CN,9.336351,1.107875375,2.185390883,359.36,72.54,203.9
Y2CN,5.6524185,1.420895625,2.490530619,139.29,87.188,216.41
Zn2CN,5.648369,0.753232,2.178259078,149.54,49.112,132.8
Zr2CN,7.409609,1.4675845,2.326233207,237.21,171.09,413.78
Zn2Co2C4,6.682029,0.6789475,2.100555895,191.384,52.588,144.524
Zn2Cr2C4,6.88226,0.987895875,2.116037247,229.739,92.173,243.885
Zn2Hf2C4,6.9038335,1.03459175,2.261580346,176.903,70.418,185.7
Zn2Mn2C4,6.835289,0.72103775,2.117412923,223.115,29.773,77.418
Zn2Ni2C4,6.429121,0.670519625,2.117566585,185.205,24.018,69.066
Zn2W2C4,7.7947865,0.89319725,2.195921299,263.971,110.481,290.704
